고객ID,고객유형,생년,생월,거주지,시,구군,남여구분
25743105, 사업자,1966.0,7.0,서울특별시,서울특별시, 강남구,여자
25742846, 사업자,1964.0,6.0,서울특별시,서울특별시, 강남구,여자
25732653, 사업자,,,서울특별시,서울특별시, 강동구,여자
25742803, 사업자,,,경상도,경상도, 거창군,여자
25855704, 사업자,,,경기도,인천광역시, 계양구,여자
25742635, 사업자,1980.0,2.0,경기도,경기도, 고양시 일산동구,여자
25742746, 사업자,1973.0,1.0,경기도,경기도, 고양시 일산서구,여자
25742714, 사업자,1966.0,11.0,경기도,경기도, 고양시 일산서구,여자
25733976, 사업자,,,전라도,전라도, 군산시,여자
25742833, 사업자,,,경기도,경기도, 김포시,여자
25742631, 사업자,1965.0,7.0,경상도,경상도, 김해시,여자
25742637, 사업자,1961.0,8.0,경상도,경상도, 김해시,여자
25695120, 사업자,,,경기도,인천광역시, 남구,여자
25756314, 사업자,1981.0,11.0,경상도,부산광역시, 남구,여자
25742623, 사업자,,,경기도,경기도, 남양주시,여자
25796407, 사업자,,,서울특별시,서울특별시, 도봉구,여자
25732565, 사업자,1966.0,10.0,서울특별시,서울특별시, 도봉구,여자
25742607, 사업자,1973.0,3.0,서울특별시,서울특별시, 동대문구,여자
25742724, 사업자,1962.0,10.0,서울특별시,서울특별시, 마포구,여자
25742599, 사업자,1962.0,11.0,서울특별시,서울특별시, 마포구,여자
25742660, 사업자,,,경상도,경상도, 밀양시,여자
25768447, 사업자,1957.0,2.0,경기도,경기도, 부천시 오정구,여자
25742666, 사업자,1970.0,2.0,경기도,경기도, 부천시 원미구,여자
25742609, 사업자,1953.0,11.0,전라도,광주광역시, 북구,여자
25742704, 사업자,,,경상도,대구광역시, 북구,여자
25853228, 사업자,1979.0,8.0,경상도,부산광역시, 사하구,여자
25742639, 사업자,1976.0,1.0,경기도,인천광역시, 서구,여자
25707946, 사업자,,,경기도,경기도, 성남시 분당구,여자
25742805, 사업자,,,서울특별시,서울특별시, 성동구,여자
25688607, 사업자,,,서울특별시,서울특별시, 송파구,여자
25742699, 사업자,,,경기도,경기도, 안산시 단원구,여자
25742680, 사업자,,,경기도,경기도, 안양시 동안구,여자
25742689, 사업자,,,서울특별시,서울특별시, 영등포구,여자
25694182, 사업자,,,서울특별시,서울특별시, 영등포구,여자
25732860, 사업자,1974.0,5.0,서울특별시,서울특별시, 은평구,여자
25740851, 사업자,1973.0,2.0,경기도,경기도, 의정부시,여자
25696653, 사업자,,,전라도,전라도, 전주시 완산구,여자
25702505, 사업자,,,경상도,경상도, 창원시 진해구,여자
25742706, 사업자,1983.0,4.0,충청도,충청도, 태안군,여자
25742719, 사업자,1970.0,5.0,경기도,경기도, 파주시,여자
25742665, 사업자,1986.0,6.0,경기도,경기도, 파주시,여자
25742693, 사업자,1971.0,11.0,경기도,경기도, 평택시,여자
25736466, 사업자,1961.0,3.0,서울특별시,서울특별시, 강남구,여자
25742250, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742561, 사업자,1948.0,2.0,서울특별시,서울특별시, 강서구,여자
25742593, 사업자,,,충청도,충청도, 계룡시,여자
25874161, 사업자,,,경기도,경기도, 고양시 일산동구,여자
25742563, 사업자,1980.0,8.0,전라도,광주광역시, 광산구,여자
25742575, 사업자,1976.0,6.0,전라도,광주광역시, 광산구,여자
25736364, 사업자,,,경기도,경기도, 광주시,여자
25742618, 사업자,1960.0,11.0,경기도,경기도, 구리시,여자
25705105, 사업자,1970.0,8.0,경상도,경상도, 구미시,여자
25742780, 사업자,,,경기도,경기도, 군포시,여자
25837951, 사업자,,,경기도,경기도, 김포시,여자
25742579, 사업자,1981.0,1.0,경기도,인천광역시, 남동구,여자
25741703, 사업자,1979.0,5.0,서울특별시,서울특별시, 노원구,여자
25742554, 사업자,1970.0,5.0,경상도,대구광역시, 달서구,여자
25856250, 사업자,,,경상도,부산광역시, 동구,여자
25743430, 사업자,1964.0,8.0,서울특별시,서울특별시, 동작구,여자
25740532, 사업자,1981.0,3.0,서울특별시,서울특별시, 동작구,여자
25742571, 사업자,,,서울특별시,서울특별시, 마포구,여자
25742574, 사업자,1991.0,9.0,전라도,광주광역시, 북구,여자
25857126, 사업자,1980.0,6.0,경상도,부산광역시, 북구,여자
25869011, 사업자,,,충청도,대전광역시, 서구,여자
25699168, 사업자,,,서울특별시,서울특별시, 서초구,여자
25742584, 사업자,,,서울특별시,서울특별시, 서초구,여자
25742558, 사업자,,,경기도,경기도, 성남시 분당구,여자
25742564, 사업자,,,경기도,경기도, 성남시 수정구,여자
25742552, 사업자,,,경상도,대구광역시, 수성구,여자
25742565, 사업자,1975.0,5.0,경상도,대구광역시, 수성구,여자
25742630, 사업자,,,경기도,경기도, 수원시 권선구,여자
25742567, 사업자,,,경기도,경기도, 시흥시,여자
25742582, 사업자,1946.0,10.0,경기도,경기도, 안양시 동안구,여자
25872383, 사업자,1974.0,2.0,전라도,전라도, 여수시,여자
25742550, 사업자,1985.0,3.0,경상도,부산광역시, 연제구,여자
25742610, 사업자,1990.0,6.0,경상도,경상도, 영주시,여자
25796227, 사업자,1969.0,7.0,서울특별시,서울특별시, 용산구,여자
25740776, 사업자,1981.0,2.0,충청도,대전광역시, 유성구,여자
25733580, 사업자,1977.0,7.0,전라도,전라도, 익산시,여자
25742629, 사업자,1959.0,3.0,전라도,전라도, 전주시 덕진구,여자
25742548, 사업자,1961.0,3.0,제주도,제주도, 제주시,여자
25853532, 사업자,,,서울특별시,서울특별시, 중구,여자
25742615, 사업자,1960.0,10.0,서울특별시,서울특별시, 중랑구,여자
25742549, 사업자,1975.0,6.0,경기도,경기도, 평택시,여자
25742591, 사업자,,,경기도,경기도, 평택시,여자
25742573, 사업자,1979.0,11.0,경기도,경기도, 평택시,여자
25742168, 사업자,1973.0,7.0,경상도,부산광역시, 해운대구,여자
25741665, 사업자,1991.0,4.0,경기도,경기도, 화성시,여자
25727899, 사업자,,,서울특별시,서울특별시, 강남구,여자
25739485, 사업자,1976.0,10.0,서울특별시,서울특별시, 강남구,여자
25742464, 사업자,1976.0,2.0,서울특별시,서울특별시, 강남구,여자
25740317, 사업자,1989.0,10.0,경상도,경상도, 경산시,여자
25742547, 사업자,,,충청도,충청도, 계룡시,여자
25850620, 사업자,,,서울특별시,서울특별시, 관악구,여자
25856116, 사업자,,,전라도,광주광역시, 광산구,여자
25742543, 사업자,1981.0,4.0,전라도,광주광역시, 광산구,여자
25744684, 사업자,,,경상도,부산광역시, 금정구,여자
66758487, 사업자,1973.0,12.0,경상도,경상도, 김해시,여자
25742420, 사업자,,,전라도,전라도, 남원시,여자
25743205, 사업자,,,충청도,충청도, 당진군,여자
25742555, 사업자,1980.0,9.0,전라도,전라도, 목포시,여자
25747082, 사업자,1978.0,10.0,전라도,전라도, 무안군,여자
25742486, 사업자,1963.0,12.0,경기도,경기도, 부천시 원미구,여자
25856078, 사업자,1939.0,4.0,경상도,부산광역시, 북구,여자
25742412, 사업자,1977.0,2.0,경기도,인천광역시, 서구,여자
25742597, 사업자,,,서울특별시,서울특별시, 서초구,여자
25846362, 사업자,,,경기도,경기도, 성남시 분당구,여자
25742560, 사업자,1975.0,2.0,서울특별시,서울특별시, 성북구,여자
25742384, 사업자,,,경기도,경기도, 수원시 권선구,여자
25742908, 사업자,,,경기도,경기도, 안산시 상록구,여자
25742544, 사업자,1994.0,9.0,경기도,경기도, 안산시 상록구,여자
25856148, 사업자,,,경기도,경기도, 안양시 동안구,여자
25742399, 사업자,1980.0,5.0,서울특별시,서울특별시, 양천구,여자
25742617, 사업자,,,서울특별시,서울특별시, 영등포구,여자
25742570, 사업자,1963.0,9.0,경기도,경기도, 오산시,여자
25742446, 사업자,1970.0,3.0,경기도,경기도, 용인시 기흥구,여자
25874979, 사업자,,,경기도,경기도, 용인시 수지구,여자
25761647, 사업자,1966.0,10.0,충청도,대전광역시, 유성구,여자
25742553, 사업자,1976.0,4.0,서울특별시,서울특별시, 은평구,여자
25874153, 사업자,,,서울특별시,서울특별시, 은평구,여자
25719426, 사업자,,,전라도,전라도, 익산시,여자
25742421, 사업자,1971.0,8.0,전라도,전라도, 전주시 덕진구,여자
25758561, 사업자,1973.0,3.0,전라도,전라도, 전주시 완산구,여자
25745962, 사업자,1972.0,9.0,전라도,전라도, 전주시 완산구,여자
25742620, 사업자,,,제주도,제주도, 제주시,여자
25819486, 사업자,,,서울특별시,서울특별시, 중구,여자
25742766, 사업자,1974.0,9.0,경기도,인천광역시, 중구,여자
25742416, 사업자,,,경상도,경상도, 진주시,여자
25742406, 사업자,1987.0,2.0,충청도,충청도, 천안시 동남구,여자
25742581, 사업자,1962.0,12.0,충청도,충청도, 천안시 동남구,여자
25722954, 사업자,,,충청도,충청도, 천안시 서북구,여자
25874494, 사업자,1974.0,9.0,충청도,충청도, 청주시 흥덕구,여자
25742405, 사업자,1941.0,12.0,경기도,경기도, 평택시,여자
25742465, 사업자,1974.0,2.0,경기도,경기도, 평택시,여자
25742632, 사업자,1965.0,5.0,경기도,경기도, 평택시,여자
25742344, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742569, 사업자,1978.0,5.0,서울특별시,서울특별시, 강남구,여자
25756193, 사업자,,,서울특별시,서울특별시, 강서구,여자
25742394, 사업자,,,서울특별시,서울특별시, 강서구,여자
25742463, 사업자,,,경기도,경기도, 광명시,여자
25742400, 사업자,1975.0,6.0,전라도,광주광역시, 광산구,여자
25856041, 사업자,,,경기도,경기도, 광주시,여자
25738390, 사업자,1964.0,10.0,충청도,충청도, 당진군,여자
25835269, 사업자,,,경상도,부산광역시, 부산진구,여자
25768002, 사업자,,,경기도,경기도, 부천시 소사구,여자
25742257, 사업자,1977.0,9.0,경상도,부산광역시, 사상구,여자
25855957, 사업자,,,경상도,부산광역시, 사상구,여자
25742305, 사업자,1967.0,1.0,전라도,광주광역시, 서구,여자
25742843, 사업자,1977.0,2.0,서울특별시,서울특별시, 성북구,여자
25854714, 사업자,,,서울특별시,서울특별시, 송파구,여자
25742277, 사업자,1964.0,2.0,경기도,경기도, 수원시 권선구,여자
25869278, 사업자,,,경기도,경기도, 수원시 영통구,여자
25742274, 사업자,1958.0,10.0,경기도,경기도, 수원시 영통구,여자
66760104, 사업자,1976.0,10.0,경기도,경기도, 안양시 동안구,남자
25742303, 사업자,1974.0,2.0,경기도,경기도, 안양시 만안구,여자
25874240, 사업자,,,서울특별시,서울특별시, 영등포구,여자
25742325, 사업자,1943.0,11.0,경기도,경기도, 용인시 기흥구,여자
25742324, 사업자,1980.0,6.0,강원도,강원도, 원주시,여자
25742411, 사업자,,,경기도,경기도, 의왕시,여자
25742321, 사업자,1954.0,11.0,서울특별시,서울특별시, 중랑구,여자
25730482, 사업자,1972.0,4.0,충청도,충청도, 청주시 상당구,여자
25742886, 사업자,,,경상도,경상도, 포항시 남구,여자
25742566, 사업자,1983.0,10.0,경기도,경기도, 화성시,여자
25742568, 사업자,1980.0,2.0,경기도,경기도, 화성시,여자
25737906, 사업자,1955.0,2.0,서울특별시,서울특별시, 강남구,여자
25742401, 사업자,1966.0,3.0,경기도,경기도, 구리시,여자
25855953, 사업자,1980.0,2.0,경상도,대구광역시, 남구,여자
25853419, 사업자,,,서울특별시,서울특별시, 노원구,여자
25855974, 사업자,1972.0,1.0,서울특별시,서울특별시, 성동구,여자
25792670, 사업자,,,서울특별시,서울특별시, 종로구,여자
25742243, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742271, 사업자,1957.0,6.0,경기도,경기도, 광명시,여자
25742619, 사업자,,,경기도,경기도, 광주시,여자
25744665, 사업자,,,경기도,경기도, 구리시,여자
25742302, 사업자,,,경상도,경상도, 구미시,여자
25742256, 사업자,,,경상도,경상도, 김해시,여자
25844303, 사업자,,,경기도,인천광역시, 남구,여자
25790707, 사업자,1980.0,3.0,전라도,광주광역시, 남구,여자
25874872, 사업자,1969.0,9.0,서울특별시,서울특별시, 노원구,여자
25742281, 사업자,,,서울특별시,서울특별시, 노원구,여자
25742262, 사업자,1966.0,5.0,경상도,대구광역시, 달서구,여자
25742304, 사업자,1947.0,9.0,서울특별시,서울특별시, 마포구,여자
25742260, 사업자,1966.0,2.0,전라도,전라도, 목포시,여자
25740309, 사업자,1982.0,12.0,충청도,충청도, 보령시,여자
25871963, 사업자,,,충청도,충청도, 보령시,여자
25796855, 사업자,1975.0,2.0,경상도,부산광역시, 부산진구,여자
25861494, 사업자,,,경기도,경기도, 부천시 소사구,여자
25742386, 사업자,1970.0,3.0,경기도,경기도, 부천시 원미구,여자
25742266, 사업자,1976.0,2.0,경기도,인천광역시, 부평구,여자
25742254, 사업자,1963.0,1.0,경상도,부산광역시, 사상구,여자
25760747, 사업자,1959.0,4.0,강원도,강원도, 삼척시,여자
25742445, 사업자,,,전라도,광주광역시, 서구,여자
25742264, 사업자,1969.0,2.0,경기도,경기도, 성남시 분당구,여자
25875544, 사업자,1965.0,2.0,서울특별시,서울특별시, 송파구,여자
25742366, 사업자,,,경기도,경기도, 수원시 권선구,여자
25742395, 사업자,1968.0,12.0,경기도,경기도, 수원시 팔달구,여자
25742280, 사업자,1971.0,4.0,경기도,경기도, 시흥시,여자
25733392, 사업자,,,경기도,경기도, 안성시,여자
25742261, 사업자,,,서울특별시,서울특별시, 영등포구,여자
25742253, 사업자,,,경상도,울산광역시, 울주군,여자
25742251, 사업자,,,제주도,제주도, 제주시,여자
25844166, 사업자,1973.0,6.0,제주도,제주도, 제주시,여자
25693634, 사업자,1975.0,8.0,제주도,제주도, 제주시,여자
25722059, 사업자,,,서울특별시,서울특별시, 중구,여자
25742276, 사업자,1971.0,5.0,경기도,인천광역시, 중구,여자
25866462, 사업자,,,경상도,대구광역시, 중구,여자
25739423, 사업자,,,서울특별시,서울특별시, 중랑구,여자
25742585, 사업자,1949.0,7.0,경상도,경상도, 창원시 마산합포구,여자
25742611, 사업자,1973.0,8.0,경상도,경상도, 창원시 마산회원구,여자
25742322, 사업자,1977.0,2.0,경상도,경상도, 창원시 진해구,여자
25742410, 사업자,1982.0,8.0,경기도,경기도, 평택시,여자
25740841, 사업자,1980.0,11.0,경기도,경기도, 평택시,여자
25742246, 사업자,1965.0,9.0,경상도,경상도, 포항시 북구,여자
25742258, 사업자,1956.0,6.0,경상도,부산광역시, 해운대구,여자
25742403, 사업자,1967.0,7.0,경기도,경기도, 화성시,여자
25742135, 사업자,1976.0,3.0,서울특별시,서울특별시, 강남구,여자
25742188, 사업자,,,서울특별시,서울특별시, 강남구,여자
25762784, 사업자,1981.0,4.0,서울특별시,서울특별시, 강남구,여자
25740561, 사업자,,,서울특별시,서울특별시, 강남구,여자
25851480, 사업자,,,서울특별시,서울특별시, 강남구,여자
25731675, 사업자,,,서울특별시,서울특별시, 강남구,여자
25751141, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742177, 사업자,1964.0,11.0,서울특별시,서울특별시, 강서구,여자
25818639, 사업자,,,충청도,충청도, 계룡시,여자
25758939, 사업자,,,경기도,경기도, 고양시 일산서구,여자
25742176, 사업자,1971.0,7.0,경기도,경기도, 광주시,여자
25742163, 사업자,1965.0,8.0,경기도,경기도, 광주시,여자
25742192, 사업자,1989.0,2.0,서울특별시,서울특별시, 광진구,여자
25733110, 사업자,,,경기도,경기도, 군포시,여자
25702712, 사업자,,,경기도,경기도, 김포시,여자
25731978, 사업자,,,경기도,인천광역시, 남구,여자
25742602, 사업자,,,경기도,인천광역시, 남구,여자
25740612, 사업자,1953.0,9.0,경상도,부산광역시, 남구,여자
25742137, 사업자,1976.0,2.0,경기도,경기도, 남양주시,여자
25706944, 사업자,,,서울특별시,서울특별시, 동대문구,여자
25875306, 사업자,,,서울특별시,서울특별시, 마포구,여자
25858481, 사업자,,,서울특별시,서울특별시, 마포구,여자
25742194, 사업자,,,전라도,전라도, 목포시,여자
25742143, 사업자,,,경상도,부산광역시, 부산진구,여자
25854002, 사업자,1971.0,11.0,경기도,인천광역시, 부평구,여자
25756042, 사업자,,,전라도,광주광역시, 북구,여자
25742642, 사업자,1971.0,1.0,경상도,부산광역시, 북구,여자
25742345, 사업자,1966.0,1.0,경기도,인천광역시, 서구,여자
25742577, 사업자,,,서울특별시,서울특별시, 서초구,여자
25742408, 사업자,1969.0,7.0,경기도,경기도, 성남시 분당구,여자
25742226, 사업자,1966.0,3.0,경기도,경기도, 성남시 중원구,여자
25742185, 사업자,1953.0,10.0,경기도,경기도, 성남시 중원구,여자
25701066, 사업자,,,서울특별시,서울특별시, 성북구,여자
25762687, 사업자,1982.0,4.0,경상도,대구광역시, 수성구,여자
25856073, 사업자,1968.0,11.0,경기도,경기도, 수원시 권선구,여자
25690722, 사업자,,,경기도,경기도, 수원시 장안구,여자
25742259, 사업자,1974.0,1.0,경기도,경기도, 시흥시,여자
25742141, 사업자,1975.0,6.0,충청도,충청도, 아산시,여자
25853138, 사업자,,,충청도,충청도, 예산군,여자
25857489, 사업자,,,경기도,경기도, 오산시,여자
25853038, 사업자,,,서울특별시,서울특별시, 은평구,여자
25742193, 사업자,1952.0,2.0,제주도,제주도, 제주시,여자
25700136, 사업자,,,충청도,충청도, 제천시,여자
25742592, 사업자,,,서울특별시,서울특별시, 중구,여자
25858818, 사업자,,,서울특별시,서울특별시, 중구,여자
25742197, 사업자,,,서울특별시,서울특별시, 중구,여자
25742203, 사업자,,,경상도,경상도, 창원시 성산구,여자
25742173, 사업자,1982.0,6.0,충청도,충청도, 천안시 서북구,여자
25742162, 사업자,,,경기도,경기도, 평택시,여자
25742142, 사업자,,,경기도,경기도, 평택시,여자
25742166, 사업자,1961.0,6.0,경상도,경상도, 포항시 남구,여자
25735726, 사업자,,,경상도,경상도, 포항시 남구,여자
25742268, 사업자,1958.0,2.0,경기도,경기도, 화성시,여자
25742684, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742088, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742087, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742101, 사업자,,,경상도,경상도, 경산시,여자
25742156, 사업자,,,경상도,경상도, 고령군,여자
25742107, 사업자,1963.0,4.0,경기도,경기도, 고양시 덕양구,여자
25742134, 사업자,1977.0,3.0,경기도,경기도, 고양시 일산동구,여자
25740351, 사업자,1963.0,7.0,경기도,경기도, 광명시,여자
25733111, 사업자,1977.0,11.0,경기도,경기도, 광명시,여자
25742095, 사업자,,,경기도,경기도, 광주시,여자
25742042, 사업자,,,경기도,경기도, 광주시,여자
25694520, 사업자,,,경기도,경기도, 군포시,여자
25800506, 사업자,,,전라도,전라도, 김제시,여자
25742067, 사업자,,,경상도,경상도, 김해시,여자
25742109, 사업자,,,경기도,인천광역시, 남구,여자
25742346, 사업자,,,경상도,대구광역시, 남구,여자
25742074, 사업자,,,경기도,경기도, 남양주시,여자
25738265, 사업자,1971.0,9.0,경기도,경기도, 남양주시,여자
25864334, 사업자,1973.0,9.0,경기도,경기도, 남양주시,여자
25742072, 사업자,1976.0,1.0,경상도,대구광역시, 달서구,여자
25873874, 사업자,1966.0,4.0,경상도,대구광역시, 달서구,여자
25742546, 사업자,1956.0,7.0,경상도,대구광역시, 달서구,여자
25742046, 사업자,,,경상도,대구광역시, 달성군,여자
25853997, 사업자,,,전라도,광주광역시, 동구,여자
25742096, 사업자,1968.0,5.0,서울특별시,서울특별시, 동작구,여자
25693821, 사업자,,,강원도,강원도, 동해시,여자
25742184, 사업자,1972.0,10.0,경상도,부산광역시, 부산진구,여자
25694498, 사업자,,,경기도,경기도, 부천시 원미구,여자
25860963, 사업자,,,경상도,울산광역시, 북구,여자
25862356, 사업자,1981.0,1.0,경상도,경상도, 사천시,여자
25742084, 사업자,1964.0,11.0,전라도,광주광역시, 서구,여자
25874333, 사업자,1971.0,2.0,경상도,대구광역시, 서구,여자
25764948, 사업자,1988.0,10.0,서울특별시,서울특별시, 서대문구,여자
25703646, 사업자,,,서울특별시,서울특별시, 서초구,여자
25742189, 사업자,,,경기도,경기도, 성남시 분당구,여자
25738946, 사업자,1967.0,7.0,서울특별시,서울특별시, 성북구,여자
25846231, 사업자,,,서울특별시,서울특별시, 성북구,여자
25742032, 사업자,,,서울특별시,서울특별시, 송파구,여자
25701294, 사업자,,,경상도,대구광역시, 수성구,여자
25811096, 사업자,1979.0,8.0,경상도,대구광역시, 수성구,여자
25759279, 사업자,1975.0,7.0,경기도,경기도, 수원시 권선구,여자
25742106, 사업자,,,경기도,경기도, 수원시 권선구,여자
25758089, 사업자,1965.0,5.0,경기도,경기도, 수원시 장안구,여자
25742063, 사업자,,,경기도,경기도, 수원시 팔달구,여자
25742167, 사업자,,,전라도,전라도, 순천시,여자
25742191, 사업자,1962.0,9.0,경기도,경기도, 시흥시,여자
25742183, 사업자,,,경기도,경기도, 안양시 만안구,여자
25742077, 사업자,,,서울특별시,서울특별시, 양천구,여자
25742081, 사업자,1964.0,12.0,경기도,경기도, 오산시,여자
25742182, 사업자,,,경기도,경기도, 용인시 기흥구,여자
25749659, 사업자,,,경상도,부산광역시, 중구,여자
25767187, 사업자,,,경상도,대구광역시, 중구,여자
25742273, 사업자,,,경상도,경상도, 창녕군,여자
25742178, 사업자,1964.0,5.0,경기도,경기도, 포천시,여자
25742075, 사업자,1972.0,1.0,경기도,경기도, 하남시,여자
25742052, 사업자,,,경상도,부산광역시, 해운대구,여자
25737306, 사업자,,,서울특별시,서울특별시, 강남구,여자
25742073, 사업자,1981.0,10.0,경기도,경기도, 고양시 일산동구,여자
25741958, 사업자,,,경기도,경기도, 고양시 일산동구,여자
25730722, 사업자,1974.0,1.0,서울특별시,서울특별시, 관악구,여자
25852644, 사업자,1980.0,7.0,서울특별시,서울특별시, 광진구,남자
25741962, 사업자,1953.0,4.0,서울특별시,서울특별시, 구로구,여자
25741952, 사업자,1963.0,11.0,경기도,경기도, 구리시,여자
25741948, 사업자,1966.0,1.0,경기도,경기도, 군포시,여자
25742004, 사업자,1972.0,6.0,경상도,대구광역시, 남구,여자
25741987, 사업자,1973.0,8.0,경기도,경기도, 남양주시,여자
25732464, 사업자,1978.0,2.0,서울특별시,서울특별시, 도봉구,여자
25742082, 사업자,,,경기도,인천광역시, 동구,여자
25870229, 사업자,,,경기도,경기도, 부천시 오정구,여자
25741923, 사업자,1970.0,2.0,경상도,대구광역시, 북구,여자
25874716, 사업자,1970.0,5.0,충청도,대전광역시, 서구,남자
25741974, 사업자,1982.0,2.0,전라도,광주광역시, 서구,여자
25741988, 사업자,1975.0,12.0,제주도,제주도, 서귀포시,여자
25723784, 사업자,,,충청도,충청도, 서산시,여자
25815161, 사업자,1961.0,10.0,충청도,충청도, 서천군,여자
25741991, 사업자,,,서울특별시,서울특별시, 서초구,여자
25741973, 사업자,1971.0,2.0,경기도,경기도, 성남시 분당구,여자
25741940, 사업자,1976.0,6.0,경기도,경기도, 성남시 분당구,여자
25845663, 사업자,1975.0,11.0,경기도,경기도, 성남시 중원구,남자
25741957, 사업자,1980.0,3.0,서울특별시,서울특별시, 성동구,여자
25856188, 사업자,,,서울특별시,서울특별시, 성동구,여자
25742029, 사업자,,,경상도,대구광역시, 수성구,여자
25743725, 사업자,1965.0,7.0,경기도,경기도, 수원시 권선구,여자
25713802, 사업자,,,경기도,경기도, 수원시 장안구,여자
25742047, 사업자,,,경기도,경기도, 수원시 팔달구,여자
25743106, 사업자,1972.0,8.0,경기도,경기도, 시흥시,여자
25742190, 사업자,1982.0,7.0,경기도,경기도, 안산시 상록구,여자
25741968, 사업자,1972.0,7.0,경기도,경기도, 안성시,여자
25741954, 사업자,1981.0,12.0,경기도,경기도, 안성시,여자
25733330, 사업자,1965.0,12.0,경기도,인천광역시, 연수구,여자
25741990, 사업자,,,서울특별시,서울특별시, 영등포구,여자
25853485, 사업자,,,전라도,전라도, 완주군,여자
25741103, 사업자,1981.0,6.0,서울특별시,서울특별시, 용산구,여자
25742165, 사업자,,,서울특별시,서울특별시, 용산구,여자
25709525, 사업자,,,경기도,경기도, 용인시 기흥구,여자
25744028, 사업자,,,경상도,울산광역시, 울주군,여자
25741977, 사업자,1965.0,3.0,충청도,대전광역시, 유성구,여자
